CONTRACTID,TITLE,TOTALOPTIONYEARS,CURRENTOPTIONYEAR,CITYWIDE,AGENCY,AGENCYNAME,PROCUREMENTMETHOD,CONTRACTTYPE,MARKETTYPE,AMOUNT,LASTMODIFIED,CONTRACTSTATUS,AWARDDATE,EFFECTIVEDATE,EXPIRATIONDATE,OWNER,CONTRACTINGOFFICER,SUPPLIER,AWARDDOC,COMMODITY,SOLICITATIONID,DSC_LAST_MOD_DTTM,OBJECTID
CW8297,BPA - DCFX-2011-A-0248 CV Path Institute,2.000000000000000,Base Period,,FX0,OFFICE OF THE CHIEF MEDICAL EXAMINER,Small Purchase,Requirements,Open,100000,2012-10-03T19:11:00.000Z,Closed,2011-04-04T00:00:00.000Z,2011-04-04T00:00:00.000Z,2012-04-03T00:00:00.000Z,Rebecca Young,Derrick White,"CVPATH INSTITUTE, INC.",,"3457459 : PROTECTION KITS, EMERGENCY RESPONSE, BODY FLUIDS AND BIOHAZARD",,2018-07-12T16:10:47.000Z,6300
CW8577,Blanket Purchase Agreement (BPA) for Office of the Associate Chief Financial Officer,0.000000000000000,Base Period,,AT0,OFFICE OF CHIEF FINANCIAL OFFICER,DC Supply Schedule,Firm Fixed Price,Open,18000,2014-01-10T20:13:00.000Z,Closed,2011-04-04T00:00:00.000Z,2011-04-04T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,METROPOLITAN OFFICE PRODUCTS,,"6158120 : STAPLES, SPECIALTY STAPLERS",,2018-07-12T16:10:47.000Z,6301
CW8057,Text Books and Supplies,4.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Sole Source,Requirements,Open,100000,2011-04-08T20:59:00.000Z,Expired,2011-04-05T00:00:00.000Z,2011-04-05T00:00:00.000Z,2012-04-04T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,FOLLETT UDC BOOKSTORE,,7158800 : Textbooks: College Level (Includes Student and Teacher Editions),,2018-07-12T16:10:47.000Z,6302
CW9389,Snow Equipment Parts - Boss,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Competitive Sealed Bid (IFB),Requirements,Open,6800.34,2011-05-31T14:30:00.000Z,Expired,2011-04-07T00:00:00.000Z,2011-04-07T00:00:00.000Z,2012-04-06T00:00:00.000Z,Rosadene Gill,James Roberts,INTERCON TRUCK OF BALTIMORE,,"7656062 : SNOW PLOW PARTS, MISCELLANEOUS",,2018-07-12T16:10:47.000Z,6303
CW9464,Snow Equipment Parts - Valk,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Competitive Sealed Bid (IFB),Requirements,Open,14982.6,2011-05-31T14:56:00.000Z,Expired,2011-04-07T00:00:00.000Z,2011-04-07T00:00:00.000Z,2012-04-06T00:00:00.000Z,Rosadene Gill,James Roberts,VALK MANUFACTURING COMPANY,,"7656062 : SNOW PLOW PARTS, MISCELLANEOUS",,2018-07-12T16:10:47.000Z,6304
CW8316,BPA - DCFA-2010-A-0235  Orion Systems,3.000000000000000,Base Period,,FA0,METROPOLITAN POLICE DEPARTMENT,Small Purchase,Labor Hour,Open,100000,2012-10-03T19:08:00.000Z,Closed,2011-04-09T00:00:00.000Z,2011-04-09T00:00:00.000Z,2012-04-08T00:00:00.000Z,Rebecca Young,Angela Turner,"Orion Systems Group, LLC",,9407600 : Signal System Maintenance and Repair,,2018-07-12T16:10:47.000Z,6305
CW8856,RFP - IT - CNA Corporation,1.000000000000000,Base Period,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,455476.13,2015-08-05T17:12:00.000Z,Expired,2011-04-10T00:00:00.000Z,2011-04-10T00:00:00.000Z,2012-04-09T00:00:00.000Z,Angela Turner,"Reid, Lindel",THE CNA CORPORATION,,"9182810 : CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",,2018-07-12T16:10:47.000Z,6306
CW8056,RENOVATION OF EMERY AND BLAIR SHELTERS,0.000000000000000,Base Period,,AM0,DEPARTMENT OF GENERAL SERVICES,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,1662849,2011-04-12T18:22:00.000Z,Expired,2011-03-28T00:00:00.000Z,2011-04-11T00:00:00.000Z,2012-03-28T00:00:00.000Z,Silvia Silverman,"Wooden, Diane",NASTOS CONTRUCTION INC,, : ,,2018-07-12T16:10:47.000Z,6307
CW8564,Blanket Purchase Agreement (BPA) for Department of Health Care Finance,0.000000000000000,Base Period,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,DC Supply Schedule,Firm Fixed Price,Open,6000,2014-01-10T20:10:00.000Z,Closed,2011-04-12T00:00:00.000Z,2011-04-12T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,MDM Office Systems DBA Standard Office Supply,,"6208037 : PEN, BALL POINT, NON-RETRACTABLE, NON-REFILLABLE, PLASTIC BARREL, W/O ERASER",,2018-07-12T16:10:47.000Z,6308
CW8982,Goods-CBS-Outdoor-Department of Housing and Community Development,0.000000000000000,Base Period,,DB0,DEPT. OF HOUSING AND COMM. DEVELOPMENT,Sole Source,Firm Fixed Price,Open,32332.5,2014-03-13T15:44:00.000Z,Closed,2011-04-27T00:00:00.000Z,2011-04-27T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,CBS OUTDOOR,,9150300 : Advertising/Public Relations,,2018-07-12T16:10:47.000Z,6309
CW8598,School Bus Maintenance,4.000000000000000,Base Period,,GO0,SPECIAL EDUCATION TRANSPORTATION,Competitive Sealed Bid (IFB),Time And Materials,Open,900000,2011-04-27T20:13:00.000Z,Expired,2011-04-27T00:00:00.000Z,2011-04-27T00:00:00.000Z,2012-04-26T00:00:00.000Z,aaron holland,James Roberts,"VECTOR FLEET MANAGEMENT, LLC",,"9282450 : MAINTENANCE AND REPAIR, SCHOOL BUSES",,2018-07-12T16:10:47.000Z,6310
CW8941,Velcro Shoes-Goods-The Hamilton Group for Department of Youth Rehabilitation Services,0.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,DC Supply Schedule,Firm Fixed Price,Open,4510,2014-03-13T15:40:00.000Z,Closed,2011-04-27T00:00:00.000Z,2011-04-27T00:00:00.000Z,2011-09-30T00:00:00.000Z,Ruby Nelson,Angela Turner,The Hamilton Group,,"8000540 : SHOES, RUNNING, LOW TOP, ULTRA HIDE LEATHER UPPER, POLYURETHANE MIDSOLE, LIGHTWEIGHT RUBBER OUTSOLE, CUSHIONED INSOLE",,2018-07-12T16:10:47.000Z,6311
CW9930,DCFB-2010-C-9164 Morgans Inc,3.000000000000000,Base Period,,FB0,FIRE AND EMERGENCY MEDICAL SERVICES,Competitive Sealed Bid (IFB),Indefinite Delivery Indefinite Quantity,Open,641714.7,2011-06-22T19:23:00.000Z,Closed,2011-04-28T00:00:00.000Z,2011-04-28T00:00:00.000Z,2012-04-27T00:00:00.000Z,Rebecca Young,Courtney Lattimore,MORGANS INC,,"2000000 : CLOTHING, ATHLETIC, CASUAL, DRESS, UNIFORM, WEATHER RELATED, WORK",,2018-07-12T16:10:47.000Z,6312
CW8602,Enterprise AT&T Wireless,4.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Cooperative Agreements,Indefinite Delivery Indefinite Quantity,Open,2000000,2011-04-29T16:16:00.000Z,Expired,2011-04-29T00:00:00.000Z,2011-04-29T00:00:00.000Z,2012-04-28T00:00:00.000Z,Derrick White,"Reid, Lindel",AT&T MOBILITY,,"9157525 : TELEPHONE SERVICE, CELLULAR",,2018-07-12T16:10:47.000Z,6313
CW11027,Police Emergency Equipment - Lighting,2.000000000000000,Base Period,,AM0,DEPARTMENT OF GENERAL SERVICES,Competitive Sealed Bid (IFB),Requirements,Open,480068.24,2011-10-11T18:32:00.000Z,Expired,2009-04-29T00:00:00.000Z,2011-04-29T00:00:00.000Z,2012-04-28T00:00:00.000Z,"Vest, Lucille",James Roberts,Major Police Supply/General Sales Administration,,"0555770 : LIGHT BAR ASSY. COMPLETE INCLUDING LIGHTS, WIRING HARNESS, ANTENNA BRACKET, CONTROL UNIT, AND VEHICLE MOUNTING BRACKETS",,2018-07-12T16:10:47.000Z,6314
CW11027,Police Emergency Equipment - Lighting,2.000000000000000,Base Period,,FA0,METROPOLITAN POLICE DEPARTMENT,Competitive Sealed Bid (IFB),Requirements,Open,480068.24,2011-10-11T18:32:00.000Z,Expired,2009-04-29T00:00:00.000Z,2011-04-29T00:00:00.000Z,2012-04-28T00:00:00.000Z,"Vest, Lucille",James Roberts,Major Police Supply/General Sales Administration,,"0555770 : LIGHT BAR ASSY. COMPLETE INCLUDING LIGHTS, WIRING HARNESS, ANTENNA BRACKET, CONTROL UNIT, AND VEHICLE MOUNTING BRACKETS",,2018-07-12T16:10:47.000Z,6315
CW9288,Home Care Partners  (Chore Aid Services),1.000000000000000,Base Period,,JA0,DEPARTMENT OF HUMAN SERVICES,Human Care Agreements,Firm Fixed Price,Open,125000,2011-05-24T15:35:00.000Z,Expired,2011-05-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,2012-04-30T00:00:00.000Z,Dwight Hayes,Deborah White,HOME CARE PARTNERS,,9524300 : Family and Social Services (Including Shopping and Buying Services),,2018-07-12T16:10:47.000Z,6316
CW8943,Requirements - DCFA-2011-C-0235 Morgans Inc.,4.000000000000000,Base Period,,FA0,METROPOLITAN POLICE DEPARTMENT,Competitive Sealed Bid (IFB),Requirements,Open,1946843.95,2011-05-02T15:51:00.000Z,Closed,2011-05-01T00:00:00.000Z,2011-05-01T00:00:00.000Z,2012-04-30T00:00:00.000Z,Rebecca Young,Angela Turner,MORGANS INC,,9982600 : Clothing,,2018-07-12T16:10:47.000Z,6317
